7005 187.119461 3.880187 50.136002 1.834000
7015 184.461182 4.142333 50.570000 3.097500
7020 187.886932 6.748044 49.725166 -1.939833
7027 196.829453 4.185466 49.180000 -0.456167
7037 185.331100 3.945456 49.382999 1.181667
7072 187.034027 3.042390 49.209667 4.155333
7110 192.977844 4.616200 48.444168 -4.412000
7117 189.941116 4.995897 48.825832 -3.473167
7130 198.423401 3.471209 48.068832 -1.734000
7139 167.298447 3.171079 48.445499 0.110167
7149 183.965576 3.492708 48.716831 2.384333
7168 196.989349 3.441510 48.324669 4.020000
7181 183.950729 3.537752 48.581001 5.959833
7190 189.497849 2.817659 48.549500 7.640333
7207 193.935501 6.159887 47.294334 -3.218333
7222 179.722885 3.381114 47.150002 -1.608833
7240 182.528168 3.404447 47.444500 0.727333
7255 182.326233 3.054623 47.059166 2.359833
7280 192.269287 3.066626 47.267834 5.088333
7299 211.988693 2.570119 47.614334 7.510000
7314 192.506866 5.469196 46.046833 -1.411500
7335 187.639236 3.603390 46.593834 0.314333
7434 172.327240 3.383799 45.861168 1.175000
7460 173.861954 2.726404 45.786835 3.149333
7471 200.169022 2.590163 45.074501 3.764000
7481 205.999573 3.419303 45.726501 5.077833
7510 188.246750 3.264620 44.830666 -0.691333
7535 196.092300 2.121791 44.744999 1.396667
7558 203.026108 4.580647 44.118500 3.019500
7577 99.261665 3.588837 44.581165 4.733000
7591 135.305130 2.832872 44.565666 6.502333
7607 181.015152 2.355958 43.909832 -0.500167
7621 195.734940 2.684664 43.188000 0.000000
7627 186.323898 1.970118 43.005333 1.106833
7630 219.471893 3.834343 43.620998 1.378833
7643 192.893417 4.144989 43.577000 3.963167
7650 212.358109 4.658133 43.437668 5.216000
7661 196.035187 6.015674 43.079334 5.940833
7690 229.871994 3.875506 43.648834 7.209000
7747 231.849243 4.489657 42.737167 2.872833
7761 123.913033 3.099600 41.917999 8.792667
7790 186.104233 2.765863 42.540668 9.485167
