07558;260;1.5;44.1185,3.0195
07027;200;3.6;49.18,-0.456167
07110;210;4.1;48.444167,-4.412
07015;190;1.5;50.57,3.0975
07149;10;2.6;48.716833,2.384333
07020;200;11.8;49.725167,-1.939833
07761;60;1.5;41.918,8.792667
07168;320;2.1;48.324667,4.02
07607;0;0.0;43.909833,-0.500167
07650;350;2.1;43.437667,5.216
07149;230;1.0;48.716833,2.384333
07280;180;2.1;47.267833,5.088333
07434;220;3.6;45.861167,1.175
07020;10;6.7;49.725167,-1.939833
07117;310;6.2;48.825833,-3.473167
07168;0;0.0;48.324667,4.02
07690;330;4.6;43.648833,7.209
07168;160;1.0;48.324667,4.02
07181;260;1.0;48.581,5.959833
07222;10;3.1;47.15,-1.608833
07335;340;3.6;46.593833,0.314333
07222;20;5.1;47.15,-1.608833
07650;40;3.1;43.437667,5.216
07015;80;1.0;50.57,3.0975
07280;360;2.6;47.267833,5.088333
07020;20;10.3;49.725167,-1.939833
07207;30;2.6;47.294333,-3.218333
07621;30;2.6;43.188,0.0
07747;310;5.7;42.737167,2.872833
07434;40;5.1;45.861167,1.175
07314;10;8.7;46.046833,-1.4115
07015;60;7.2;50.57,3.0975
07110;350;7.7;48.444167,-4.412
07168;150;2.1;48.324667,4.02
07222;210;4.1;47.15,-1.608833
07630;300;4.1;43.621,1.378833
07015;160;1.5;50.57,3.0975
07481;160;1.5;45.7265,5.077833
07627;160;2.6;43.005333,1.106833
07510;180;3.6;44.830667,-0.691333
07434;220;4.1;45.861167,1.175
07690;320;6.2;43.648833,7.209
07015;260;0.5;50.57,3.0975
07020;120;4.6;49.725167,-1.939833
07335;40;4.6;46.593833,0.314333
07630;170;1.5;43.621,1.378833
07314;50;10.8;46.046833,-1.4115
07207;70;9.8;47.294333,-3.218333
07510;10;5.1;44.830667,-0.691333
07577;10;4.1;44.581167,4.733
07650;80;5.1;43.437667,5.216
07240;60;4.6;47.4445,0.727333
07577;10;5.7;44.581167,4.733
07117;140;3.6;48.825833,-3.473167
07130;30;1.5;48.068833,-1.734
07149;80;1.0;48.716833,2.384333
07190;20;4.1;48.5495,7.640333
07577;360;5.7;44.581167,4.733
07627;0;0.0;43.005333,1.106833
07577;10;5.7;44.581167,4.733
07027;30;1.0;49.18,-0.456167
07621;170;2.6;43.188,0.0
07690;300;1.5;43.648833,7.209
07240;40;4.1;47.4445,0.727333
07255;290;1.5;47.059167,2.359833
07627;60;3.1;43.005333,1.106833
07005;30;2.6;50.136,1.834
07149;60;4.6;48.716833,2.384333
07314;70;5.1;46.046833,-1.4115
07460;340;0.5;45.786833,3.149333
07510;60;4.1;44.830667,-0.691333
07471;0;0.0;45.0745,3.764
07149;250;3.1;48.716833,2.384333
