89642 -66.663170 140.001007 100
81415 3.640167 -54.028332 100
81408 3.890667 -51.804668 100
81405 4.822333 -52.365334 100
81401 5.485500 -54.031666 100
78925 14.595333 -60.995667 100
78922 14.774500 -60.875332 100
78897 16.264000 -61.516335 100
78894 17.901501 -62.852165 100
78890 16.334999 -61.004002 100
71805 46.766335 -56.179169 100
67005 -12.805500 45.282833 100
61998 -49.352333 70.243332 100
61997 -46.432499 51.856667 100
61996 -37.795166 77.569168 100
61976 -15.887667 54.520668 100
61972 -22.344168 40.340668 100
61970 -17.054667 42.712002 100
61968 -11.582667 47.289665 100
7790 42.540668 9.485167 100
7761 41.917999 8.792667 100
7747 42.737167 2.872833 100
7690 43.648834 7.209000 100
7661 43.079334 5.940833 100
7650 43.437668 5.216000 100
7643 43.577000 3.963167 100
7630 43.620998 1.378833 100
7627 43.005333 1.106833 100
7621 43.188000 0.000000 100
7607 43.909832 -0.500167 100
7591 44.565666 6.502333 100
7577 44.581165 4.733000 100
7558 44.118500 3.019500 100
7535 44.744999 1.396667 100
7510 44.830666 -0.691333 100
7481 45.726501 5.077833 100
7471 45.074501 3.764000 100
7460 45.786835 3.149333 100
7434 45.861168 1.175000 100
7335 46.593834 0.314333 100
7314 46.046833 -1.411500 100
7299 47.614334 7.510000 100
7280 47.267834 5.088333 100
7255 47.059166 2.359833 100
7240 47.444500 0.727333 100
7222 47.150002 -1.608833 100
7207 47.294334 -3.218333 100
7190 48.549500 7.640333 100
7181 48.581001 5.959833 100
7168 48.324669 4.020000 100
7149 48.716831 2.384333 100
7139 48.445499 0.110167 100
7130 48.068832 -1.734000 100
7117 48.825832 -3.473167 100
7110 48.444168 -4.412000 100
7072 49.209667 4.155333 100
7037 49.382999 1.181667 100
7027 49.180000 -0.456167 100
7020 49.725166 -1.939833 100
7015 50.570000 3.097500 100
7005 50.136002 1.834000 100
61980 -20.892500 55.528667 97
