89642;100;-66.663170,140.001007
81415;100;3.640167,-54.028332
81408;100;3.890667,-51.804668
81405;100;4.822333,-52.365334
81401;100;5.485500,-54.031666
78925;100;14.595333,-60.995667
78922;100;14.774500,-60.875332
78897;100;16.264000,-61.516335
78894;100;17.901501,-62.852165
78890;100;16.334999,-61.004002
71805;100;46.766335,-56.179169
67005;100;-12.805500,45.282833
61998;100;-49.352333,70.243332
61997;100;-46.432499,51.856667
61996;100;-37.795166,77.569168
61980;97;-20.892500,55.528667
61976;100;-15.887667,54.520668
61972;100;-22.344168,40.340668
61970;100;-17.054667,42.712002
61968;100;-11.582667,47.289665
7790;100;42.540668,9.485167
7761;100;41.917999,8.792667
7747;100;42.737167,2.872833
7690;100;43.648834,7.209000
7661;100;43.079334,5.940833
7650;100;43.437668,5.216000
7643;100;43.577000,3.963167
7630;100;43.620998,1.378833
7627;100;43.005333,1.106833
7621;100;43.188000,0.000000
7607;100;43.909832,-0.500167
7591;100;44.565666,6.502333
7577;100;44.581165,4.733000
7558;100;44.118500,3.019500
7535;100;44.744999,1.396667
7510;100;44.830666,-0.691333
7481;100;45.726501,5.077833
7471;100;45.074501,3.764000
7460;100;45.786835,3.149333
7434;100;45.861168,1.175000
7335;100;46.593834,0.314333
7314;100;46.046833,-1.411500
7299;100;47.614334,7.510000
7280;100;47.267834,5.088333
7255;100;47.059166,2.359833
7240;100;47.444500,0.727333
7222;100;47.150002,-1.608833
7207;100;47.294334,-3.218333
7190;100;48.549500,7.640333
7181;100;48.581001,5.959833
7168;100;48.324669,4.020000
7149;100;48.716831,2.384333
7139;100;48.445499,0.110167
7130;100;48.068832,-1.734000
7117;100;48.825832,-3.473167
7110;100;48.444168,-4.412000
7072;100;49.209667,4.155333
7037;100;49.382999,1.181667
7027;100;49.180000,-0.456167
7020;100;49.725166,-1.939833
7015;100;50.570000,3.097500
7005;100;50.136002,1.834000
