07240;2010-01-04T22:00:00+01:00;47.4445,0.727333;-4.199999999999989
07577;2010-01-04T22:00:00+01:00;44.581167,4.733;0.30000000000001137
07117;2010-01-05T01:00:00+01:00;48.825833,-3.473167;1.5
07130;2010-01-05T01:00:00+01:00;48.068833,-1.734;-4.2999999999999545
07149;2010-01-05T01:00:00+01:00;48.716833,2.384333;-5.599999999999966
07190;2010-01-05T01:00:00+01:00;48.5495,7.640333;-3.8999999999999773
07577;2010-01-05T01:00:00+01:00;44.581167,4.733;-0.0999999999999659
07627;2010-01-05T01:00:00+01:00;43.005333,1.106833;5.2000000000000455
78897;2010-01-05T01:00:00+01:00;16.264,-61.516333;25.400000000000034
07577;2010-01-05T04:00:00+01:00;44.581167,4.733;-0.2999999999999545
61980;2010-01-05T07:00:00+01:00;-20.8925,55.528667;28.600000000000023
67005;2010-01-05T07:00:00+01:00;-12.8055,45.282833;29.80000000000001
67005;2010-03-02T01:00:00+01:00;-12.8055,45.282833;25.5
07027;2010-03-02T04:00:00+01:00;49.18,-0.456167;2.7000000000000455
78922;2010-03-02T04:00:00+01:00;14.7745,-60.875333;26.600000000000023
07621;2010-03-02T07:00:00+01:00;43.188,0.0;1.0
07690;2010-03-02T10:00:00+01:00;43.648833,7.209;13.0
61997;2010-03-02T10:00:00+01:00;-46.4325,51.856667;8.800000000000011
07240;2010-03-02T13:00:00+01:00;47.4445,0.727333;8.900000000000034
07255;2010-03-02T13:00:00+01:00;47.059167,2.359833;11.400000000000034
07627;2010-03-02T16:00:00+01:00;43.005333,1.106833;15.400000000000034
07005;2010-03-02T19:00:00+01:00;50.136,1.834;6.2000000000000455
07149;2010-03-02T19:00:00+01:00;48.716833,2.384333;8.0
07314;2010-03-02T22:00:00+01:00;46.046833,-1.4115;9.600000000000023
07460;2010-03-02T22:00:00+01:00;45.786833,3.149333;6.0
07510;2010-03-02T22:00:00+01:00;44.830667,-0.691333;11.600000000000023
78897;2010-03-02T22:00:00+01:00;16.264,-61.516333;28.700000000000045
07471;2010-03-03T01:00:00+01:00;45.0745,3.764;0.0
61980;2010-03-03T01:00:00+01:00;-20.8925,55.528667;24.100000000000023
61996;2010-02-28T22:00:00+01:00;-37.795167,77.569167;17.400000000000034
81408;2010-02-28T22:00:00+01:00;3.890667,-51.804667;28.700000000000045
07149;2010-03-01T01:00:00+01:00;48.716833,2.384333;3.0
07299;2010-03-01T01:00:00+01:00;47.614333,7.51;7.2000000000000455
07607;2010-03-01T01:00:00+01:00;43.909833,-0.500167;3.400000000000034
61972;2010-03-01T01:00:00+01:00;-22.344167,40.340667;27.400000000000034
